pair;plays;wins;loses;winrate1st;winrate2nd;
aandreev-avarov;1;1;0;100;0;
avarov-aandreev;1;0;1;0;100;
achuhlomin-amelnikov;1;1;0;100;0;
amelnikov-achuhlomin;1;0;1;0;100;
achuhlomin-aocheredko;8;4;4;50;50;
aocheredko-achuhlomin;8;4;4;50;50;
achuhlomin-arkislyakov;3;2;1;67;33;
arkislyakov-achuhlomin;3;1;2;33;67;
achuhlomin-astelmaschuk;1;1;0;100;0;
astelmaschuk-achuhlomin;1;0;1;0;100;
achuhlomin-dtomilov;1;1;0;100;0;
dtomilov-achuhlomin;1;0;1;0;100;
achuhlomin-ibykov;2;2;0;100;0;
ibykov-achuhlomin;2;0;2;0;100;
alupook-vbugaev;2;1;1;50;50;
vbugaev-alupook;2;1;1;50;50;
amelnikov-aocheredko;34;2;32;6;94;
aocheredko-amelnikov;34;32;2;94;6;
amelnikov-arkislyakov;38;2;36;5;95;
arkislyakov-amelnikov;38;36;2;95;5;
amelnikov-dtomilov;7;5;2;71;29;
dtomilov-amelnikov;7;2;5;29;71;
amelnikov-ibykov;1;1;0;100;0;
ibykov-amelnikov;1;0;1;0;100;
amelnikov-imaskin;5;1;4;20;80;
imaskin-amelnikov;5;4;1;80;20;
amelnikov-vbugaev;11;3;8;27;73;
vbugaev-amelnikov;11;8;3;73;27;
ankislyakov-achuhlomin;1;1;0;100;0;
achuhlomin-ankislyakov;1;0;1;0;100;
ankislyakov-alupook;1;1;0;100;0;
alupook-ankislyakov;1;0;1;0;100;
ankislyakov-amelnikov;10;10;0;100;0;
amelnikov-ankislyakov;10;0;10;0;100;
ankislyakov-aocheredko;31;11;20;35;65;
aocheredko-ankislyakov;31;20;11;65;35;
ankislyakov-arkislyakov;90;27;63;30;70;
arkislyakov-ankislyakov;90;63;27;70;30;
ankislyakov-astelmaschuk;10;9;1;90;10;
astelmaschuk-ankislyakov;10;1;9;10;90;
ankislyakov-avarov;1;1;0;100;0;
avarov-ankislyakov;1;0;1;0;100;
ankislyakov-dtomilov;5;5;0;100;0;
dtomilov-ankislyakov;5;0;5;0;100;
ankislyakov-ibykov;1;1;0;100;0;
ibykov-ankislyakov;1;0;1;0;100;
ankislyakov-ilevshtanov;2;2;0;100;0;
ilevshtanov-ankislyakov;2;0;2;0;100;
ankislyakov-imaskin;4;3;1;75;25;
imaskin-ankislyakov;4;1;3;25;75;
ankislyakov-vbugaev;11;7;4;64;36;
vbugaev-ankislyakov;11;4;7;36;64;
aocheredko-alupook;2;2;0;100;0;
alupook-aocheredko;2;0;2;0;100;
aocheredko-aparshin;1;1;0;100;0;
aparshin-aocheredko;1;0;1;0;100;
aocheredko-arkislyakov;41;25;16;61;39;
arkislyakov-aocheredko;41;16;25;39;61;
aocheredko-asmirnov;4;2;2;50;50;
asmirnov-aocheredko;4;2;2;50;50;
aocheredko-astelmaschuk;11;7;4;64;36;
astelmaschuk-aocheredko;11;4;7;36;64;
aocheredko-avarov;6;5;1;83;17;
avarov-aocheredko;6;1;5;17;83;
aocheredko-dtomilov;16;15;1;94;6;
dtomilov-aocheredko;16;1;15;6;94;
aocheredko-ephilipchack;1;1;0;100;0;
ephilipchack-aocheredko;1;0;1;0;100;
aocheredko-ibykov;2;2;0;100;0;
ibykov-aocheredko;2;0;2;0;100;
aocheredko-ilevshtanov;1;1;0;100;0;
ilevshtanov-aocheredko;1;0;1;0;100;
aocheredko-imaskin;5;4;1;80;20;
imaskin-aocheredko;5;1;4;20;80;
aocheredko-vbugaev;12;9;3;75;25;
vbugaev-aocheredko;12;3;9;25;75;
aocheredko-vvasilev;2;2;0;100;0;
vvasilev-aocheredko;2;0;2;0;100;
aparshin-amelnikov;1;1;0;100;0;
amelnikov-aparshin;1;0;1;0;100;
aparshin-astelmaschuk;2;2;0;100;0;
astelmaschuk-aparshin;2;0;2;0;100;
aparshin-ephilipchack;3;2;1;67;33;
ephilipchack-aparshin;3;1;2;33;67;
arkislyakov-aandreev;1;1;0;100;0;
aandreev-arkislyakov;1;0;1;0;100;
arkislyakov-alupook;3;3;0;100;0;
alupook-arkislyakov;3;0;3;0;100;
arkislyakov-astelmaschuk;27;24;3;89;11;
astelmaschuk-arkislyakov;27;3;24;11;89;
arkislyakov-avarov;1;1;0;100;0;
avarov-arkislyakov;1;0;1;0;100;
arkislyakov-dtomilov;20;18;2;90;10;
dtomilov-arkislyakov;20;2;18;10;90;
arkislyakov-ephilipchack;6;3;3;50;50;
ephilipchack-arkislyakov;6;3;3;50;50;
arkislyakov-ilevshtanov;6;3;3;50;50;
ilevshtanov-arkislyakov;6;3;3;50;50;
arkislyakov-imaskin;9;3;6;33;67;
imaskin-arkislyakov;9;6;3;67;33;
arkislyakov-vbugaev;26;10;16;38;62;
vbugaev-arkislyakov;26;16;10;62;38;
asmirnov-amelnikov;2;2;0;100;0;
amelnikov-asmirnov;2;0;2;0;100;
asmirnov-arkislyakov;1;1;0;100;0;
arkislyakov-asmirnov;1;0;1;0;100;
asmirnov-vbugaev;1;1;0;100;0;
vbugaev-asmirnov;1;0;1;0;100;
astelmaschuk-avarov;2;1;1;50;50;
avarov-astelmaschuk;2;1;1;50;50;
astelmaschuk-dtomilov;5;4;1;80;20;
dtomilov-astelmaschuk;5;1;4;20;80;
avarov-ibykov;1;1;0;100;0;
ibykov-avarov;1;0;1;0;100;
dtomilov-vbugaev;6;1;5;17;83;
vbugaev-dtomilov;6;5;1;83;17;
ephilipchack-dtomilov;1;1;0;100;0;
dtomilov-ephilipchack;1;0;1;0;100;
ephilipchack-imaskin;3;2;1;67;33;
imaskin-ephilipchack;3;1;2;33;67;
ibykov-alupook;2;2;0;100;0;
alupook-ibykov;2;0;2;0;100;
ilevshtanov-aandreev;1;1;0;100;0;
aandreev-ilevshtanov;1;0;1;0;100;
ilevshtanov-alupook;1;1;0;100;0;
alupook-ilevshtanov;1;0;1;0;100;
ilevshtanov-amelnikov;3;3;0;100;0;
amelnikov-ilevshtanov;3;0;3;0;100;
ilevshtanov-astelmaschuk;2;2;0;100;0;
astelmaschuk-ilevshtanov;2;0;2;0;100;
ilevshtanov-dtomilov;5;5;0;100;0;
dtomilov-ilevshtanov;5;0;5;0;100;
ilevshtanov-vbugaev;2;1;1;50;50;
vbugaev-ilevshtanov;2;1;1;50;50;
ilevshtanov-vvasilev;1;1;0;100;0;
vvasilev-ilevshtanov;1;0;1;0;100;
imaskin-achuhlomin;1;1;0;100;0;
achuhlomin-imaskin;1;0;1;0;100;
imaskin-astelmaschuk;4;4;0;100;0;
astelmaschuk-imaskin;4;0;4;0;100;
imaskin-dtomilov;3;3;0;100;0;
dtomilov-imaskin;3;0;3;0;100;
imaskin-ilevshtanov;3;3;0;100;0;
ilevshtanov-imaskin;3;0;3;0;100;
imaskin-vbugaev;12;3;9;25;75;
vbugaev-imaskin;12;9;3;75;25;
vbugaev-aparshin;2;2;0;100;0;
aparshin-vbugaev;2;0;2;0;100;
vbugaev-astelmaschuk;11;11;0;100;0;
astelmaschuk-vbugaev;11;0;11;0;100;
vbugaev-avarov;2;2;0;100;0;
avarov-vbugaev;2;0;2;0;100;
vbugaev-ephilipchack;2;2;0;100;0;
ephilipchack-vbugaev;2;0;2;0;100;
vbugaev-ibykov;2;2;0;100;0;
ibykov-vbugaev;2;0;2;0;100;
