winner_login;loser_login;winner_score;loser_score;match_date
aocheredko;vbugaev;11;4;28.02.2021
aocheredko;amelnikov;11;9;28.02.2021
aocheredko;ankislyakov;11;6;28.02.2021
aocheredko;dtomilov;11;6;28.02.2021
aocheredko;vbugaev;11;9;28.02.2021
aocheredko;asmirnov;11;7;28.02.2021
aocheredko;ankislyakov;11;5;28.02.2021
aocheredko;imaskin;11;5;28.02.2021
aocheredko;dtomilov;11;8;28.02.2021
aocheredko;ankislyakov;11;5;28.02.2021
aocheredko;ankislyakov;11;8;28.02.2021
ankislyakov;aocheredko;11;5;28.02.2021
ankislyakov;amelnikov;11;1;28.02.2021
ankislyakov;amelnikov;11;0;28.02.2021
ankislyakov;aocheredko;11;9;28.02.2021
vbugaev;ankislyakov;11;3;28.02.2021
vbugaev;amelnikov;11;5;28.02.2021
aocheredko;vbugaev;12;10;28.02.2021
aocheredko;ankislyakov;11;9;28.02.2021
aocheredko;amelnikov;11;9;28.02.2021
vbugaev;aocheredko;11;8;28.02.2021
vbugaev;amelnikov;11;9;28.02.2021
vbugaev;aocheredko;11;6;28.02.2021
dtomilov;aparshin;11;9;28.02.2021
dtomilov;ikuznetsov;11;8;28.02.2021
ilevshtanov;amelnikov;11;9;28.02.2021
ankislyakov;imaskin;11;5;28.02.2021
ephilipchack;aparshin;11;9;28.02.2021
ephilipchack;aparshin;11;9;28.02.2021
ephilipchack;aparshin;11;9;28.02.2021
aparshin;ephilipchack;11;8;28.02.2021
aparshin;ephilipchack;14;12;28.02.2021
vbugaev;aocheredko;11;7;28.02.2021
vbugaev;amelnikov;11;9;28.02.2021
imaskin;vbugaev;11;6;28.02.2021
ankislyakov;imaskin;13;11;28.02.2021
aocheredko;amelnikov;11;5;28.02.2021
aocheredko;ankislyakov;12;10;28.02.2021
aocheredko;amelnikov;12;10;28.02.2021
aocheredko;ankislyakov;11;7;28.02.2021
aocheredko;amelnikov;11;1;28.02.2021
aocheredko;amelnikov;11;9;28.02.2021
aocheredko;amelnikov;11;6;28.02.2021
amelnikov;aocheredko;11;9;28.02.2021
amelnikov;ibykov;11;9;28.02.2021
ilevshtanov;amelnikov;11;7;28.02.2021
aocheredko;ilevshtanov;11;4;28.02.2021
aocheredko;ibykov;11;7;28.02.2021
achuhlomin;aocheredko;11;9;28.02.2021
arkislyakov;ankislyakov;11;8;09.03.2021
arkislyakov;ankislyakov;11;6;09.03.2021
arkislyakov;dtomilov;11;6;09.03.2021
arkislyakov;ankislyakov;11;8;09.03.2021
arkislyakov;dtomilov;11;4;09.03.2021
arkislyakov;ankislyakov;11;7;09.03.2021
arkislyakov;dtomilov;11;9;09.03.2021
arkislyakov;ankislyakov;11;9;09.03.2021
arkislyakov;dtomilov;11;8;09.03.2021
arkislyakov;ankislyakov;11;9;09.03.2021
arkislyakov;dtomilov;11;6;09.03.2021
ankislyakov;arkislyakov;11;9;09.03.2021
arkislyakov;ankislyakov;11;6;09.03.2021
aocheredko;arkislyakov;11;8;09.03.2021
aocheredko;dtomilov;11;7;09.03.2021
aocheredko;dtomilov;11;2;09.03.2021
aocheredko;ankislyakov;11;8;09.03.2021
aocheredko;achuhlomin;11;8;09.03.2021
aocheredko;vbugaev;11;8;09.03.2021
arkislyakov;aocheredko;12;10;09.03.2021
aocheredko;alupook;11;9;09.03.2021
ankislyakov;alupook;11;2;09.03.2021
arkislyakov;ankislyakov;11;6;09.03.2021
arkislyakov;aocheredko;11;7;09.03.2021
arkislyakov;amelnikov;11;7;10.03.2021
arkislyakov;amelnikov;11;1;10.03.2021
arkislyakov;ankislyakov;11;7;10.03.2021
arkislyakov;alupook;11;4;10.03.2021
arkislyakov;amelnikov;11;3;10.03.2021
arkislyakov;ephilipchack;11;8;10.03.2021
arkislyakov;aandreev;11;6;10.03.2021
ephilipchack;arkislyakov;11;4;10.03.2021
vbugaev;ephilipchack;11;6;10.03.2021
vbugaev;amelnikov;11;0;10.03.2021
ilevshtanov;dtomilov;11;6;10.03.2021
ilevshtanov;alupook;11;0;10.03.2021
vbugaev;dtomilov;11;7;10.03.2021
astelmaschuk;arkislyakov;11;7;10.03.2021
vbugaev;astelmaschuk;11;3;10.03.2021
alupook;vbugaev;11;6;10.03.2021
arkislyakov;amelnikov;11;7;10.03.2021
ankislyakov;arkislyakov;11;7;10.03.2021
ankislyakov;amelnikov;11;2;10.03.2021
ankislyakov;arkislyakov;11;8;10.03.2021
ankislyakov;amelnikov;11;6;10.03.2021
arkislyakov;ankislyakov;12;10;10.03.2021
arkislyakov;amelnikov;11;7;10.03.2021
arkislyakov;ankislyakov;14;12;10.03.2021
ilevshtanov;amelnikov;11;6;10.03.2021
ankislyakov;ilevshtanov;11;5;10.03.2021
arkislyakov;ankislyakov;11;4;10.03.2021
arkislyakov;amelnikov;11;3;10.03.2021
arkislyakov;alupook;11;1;10.03.2021
arkislyakov;vbugaev;11;8;10.03.2021
arkislyakov;amelnikov;11;4;10.03.2021
arkislyakov;ankislyakov;11;6;10.03.2021
arkislyakov;amelnikov;11;4;10.03.2021
ankislyakov;arkislyakov;11;9;10.03.2021
ankislyakov;amelnikov;11;4;10.03.2021
ankislyakov;arkislyakov;11;4;10.03.2021
ankislyakov;amelnikov;11;1;10.03.2021
arkislyakov;ankislyakov;11;5;10.03.2021
ilevshtanov;arkislyakov;11;8;10.03.2021
aocheredko;amelnikov;11;5;11.03.2021
aocheredko;arkislyakov;11;6;11.03.2021
achuhlomin;aocheredko;11;9;11.03.2021
ankislyakov;achuhlomin;11;9;11.03.2021
ankislyakov;amelnikov;11;7;11.03.2021
ankislyakov;arkislyakov;11;6;11.03.2021
aocheredko;ankislyakov;11;4;11.03.2021
aocheredko;amelnikov;11;9;11.03.2021
aocheredko;arkislyakov;11;3;11.03.2021
ankislyakov;aocheredko;11;4;11.03.2021
ankislyakov;amelnikov;11;5;11.03.2021
arkislyakov;ankislyakov;11;5;11.03.2021
arkislyakov;aocheredko;12;10;11.03.2021
arkislyakov;amelnikov;11;6;11.03.2021
ankislyakov;arkislyakov;11;7;11.03.2021
aocheredko;ankislyakov;16;14;11.03.2021
aocheredko;amelnikov;11;6;11.03.2021
aocheredko;arkislyakov;11;5;11.03.2021
ankislyakov;aocheredko;11;8;11.03.2021
arkislyakov;ankislyakov;11;8;11.03.2021
arkislyakov;amelnikov;11;3;11.03.2021
ankislyakov;arkislyakov;11;7;11.03.2021
arkislyakov;ankislyakov;16;14;11.03.2021
arkislyakov;ankislyakov;11;6;11.03.2021
ankislyakov;arkislyakov;12;10;11.03.2021
ankislyakov;arkislyakov;11;9;11.03.2021
